            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2397375.500000000, A.D. 1851-Sep-10 00:00:00.0000,  4.211041118198225E+09, -1.533868269312383E+09, -6.543137869229329E+07,  1.580704464565996E+05,  4.433910575121145E+05, -1.276390640698319E+04,
2397385.500000000, A.D. 1851-Sep-20 00:00:00.0000,  4.212618805969468E+09, -1.529433856256227E+09, -6.555919539305985E+07,  1.574928233931712E+05,  4.435898152158806E+05, -1.274090545942386E+04,
2397395.500000000, A.D. 1851-Sep-30 00:00:00.0000,  4.214192107901650E+09, -1.524997582204187E+09, -6.568688002212286E+07,  1.570497722995595E+05,  4.436556568848470E+05, -1.279939037758162E+04,
2397405.500000000, A.D. 1851-Oct-10 00:00:00.0000,  4.215760712272295E+09, -1.520559475968733E+09, -6.581444189127898E+07,  1.567149089594099E+05,  4.438722882132851E+05, -1.276931731984741E+04,
2397415.500000000, A.D. 1851-Oct-20 00:00:00.0000,  4.217324737821153E+09, -1.516119785658676E+09, -6.594203050428915E+07,  1.561806682894191E+05,  4.441310538074750E+05, -1.271085606600319E+04,
2397425.500000000, A.D. 1851-Oct-30 00:00:00.0000,  4.218884422658841E+09, -1.511678336441386E+09, -6.606954704571807E+07,  1.556574690694331E+05,  4.442136978130028E+05, -1.275804026431745E+04,
2397435.500000000, A.D. 1851-Nov-09 00:00:00.0000,  4.220439499874510E+09, -1.507234982898290E+09, -6.619690045031583E+07,  1.553262226894023E+05,  4.443599678180352E+05, -1.277031142608955E+04,
2397445.500000000, A.D. 1851-Nov-19 00:00:00.0000,  4.221989877614265E+09, -1.502789983556536E+09, -6.632424241298687E+07,  1.548671861479814E+05,  4.446441652317719E+05, -1.269767941366449E+04,
2397455.500000000, A.D. 1851-Nov-29 00:00:00.0000,  4.223535858202041E+09, -1.498343331252799E+09, -6.645157120985484E+07,  1.542905587250031E+05,  4.447814186633140E+05, -1.271063963325512E+04,
2397465.500000000, A.D. 1851-Dec-09 00:00:00.0000,  4.225077331589258E+09, -1.493894780080257E+09, -6.657873431439811E+07,  1.539099125604517E+05,  4.448676090063832E+05, -1.275706062976402E+04,
2397475.500000000, A.D. 1851-Dec-19 00:00:00.0000,  4.226614040633877E+09, -1.489444497808622E+09, -6.670582315193546E+07,  1.535272560111986E+05,  4.451297361339623E+05, -1.269760298294638E+04,
2397485.500000000, A.D. 1851-Dec-29 00:00:00.0000,  4.228146229665121E+09, -1.484992649121921E+09, -6.683293422552150E+07,  1.529478919964764E+05,  4.453353502623563E+05, -1.266790087918970E+04,
2397495.500000000, A.D. 1852-Jan-08 00:00:00.0000,  4.229673995392790E+09, -1.480538993665803E+09, -6.695991781756866E+07,  1.524874191771862E+05,  4.453962727986723E+05, -1.272622450385406E+04,
2397505.500000000, A.D. 1852-Jan-18 00:00:00.0000,  4.231197031141163E+09, -1.476083537038458E+09, -6.708676731504226E+07,  1.521524130421327E+05,  4.455981252265618E+05, -1.270206106810020E+04,
2397515.500000000, A.D. 1852-Jan-28 00:00:00.0000,  4.232715425305418E+09, -1.471626537753110E+09, -6.721363670350498E+07,  1.516238265428709E+05,  4.458584941849349E+05, -1.263926827772262E+04,
2397525.500000000, A.D. 1852-Feb-07 00:00:00.0000,  4.234229434956378E+09, -1.467167850463593E+09, -6.734044022226357E+07,  1.510860692654149E+05,  4.459417095164757E+05, -1.268211768994544E+04,
2397535.500000000, A.D. 1852-Feb-17 00:00:00.0000,  4.235738817749577E+09, -1.462707315607594E+09, -6.746707447997034E+07,  1.507474099489371E+05,  4.460712312221614E+05, -1.270033419622111E+04,
2397545.500000000, A.D. 1852-Feb-27 00:00:00.0000,  4.237243461028603E+09, -1.458245187334157E+09, -6.759368659108436E+07,  1.502987675233327E+05,  4.463486763712774E+05, -1.262766430575324E+04,
2397555.500000000, A.D. 1852-Mar-08 00:00:00.0000,  4.238743675710283E+09, -1.453781486027072E+09, -6.772029160693258E+07,  1.497170917216963E+05,  4.464898293930728E+05, -1.263410887413448E+04,
2397565.500000000, A.D. 1852-Mar-18 00:00:00.0000,  4.240239390400472E+09, -1.449315956924425E+09, -6.784673331795496E+07,  1.493252448028966E+05,  4.465634650624790E+05, -1.268411745422354E+04,
2397575.500000000, A.D. 1852-Mar-28 00:00:00.0000,  4.241730339706289E+09, -1.444848743542123E+09, -6.797309054136330E+07,  1.489529925469260E+05,  4.468125519297842E+05, -1.262894404273975E+04,
2397585.500000000, A.D. 1852-Apr-07 00:00:00.0000,  4.243216760935824E+09, -1.440380025724097E+09, -6.809947338494235E+07,  1.483800480075655E+05,  4.470231629367184E+05, -1.259326879457245E+04,
2397595.500000000, A.D. 1852-Apr-17 00:00:00.0000,  4.244698789063294E+09, -1.435909556516136E+09, -6.822573840106517E+07,  1.479087859719039E+05,  4.470814957235248E+05, -1.265117495245190E+04,
2397605.500000000, A.D. 1852-Apr-27 00:00:00.0000,  4.246176116721844E+09, -1.431437299091626E+09, -6.835186225537026E+07,  1.475781324954265E+05,  4.472706172878229E+05, -1.263350660570781E+04,
2397615.500000000, A.D. 1852-May-07 00:00:00.0000,  4.247648797428906E+09, -1.426963508640989E+09, -6.847800235184860E+07,  1.470614685996071E+05,  4.475354666587046E+05, -1.256737628119718E+04,
2397625.500000000, A.D. 1852-May-17 00:00:00.0000,  4.249117099743803E+09, -1.422488053151755E+09, -6.860408679735011E+07,  1.465145740393558E+05,  4.476257721923238E+05, -1.260574220971620E+04,
2397635.500000000, A.D. 1852-May-27 00:00:00.0000,  4.250580794952780E+09, -1.418010743744623E+09, -6.873000000883090E+07,  1.461702454354663E+05,  4.477460972358510E+05, -1.262990846062935E+04,
2397645.500000000, A.D. 1852-Jun-06 00:00:00.0000,  4.252039731959510E+09, -1.413531816084183E+09, -6.885588184709573E+07,  1.457327724100048E+05,  4.480237107026035E+05, -1.255798869848891E+04,
2397655.500000000, A.D. 1852-Jun-16 00:00:00.0000,  4.253494205439977E+09, -1.409051312758050E+09, -6.898176279946744E+07,  1.451459635018936E+05,  4.481771923018499E+05, -1.255776773200974E+04,
2397665.500000000, A.D. 1852-Jun-26 00:00:00.0000,  4.254944162330401E+09, -1.404568974896492E+09, -6.910748356471878E+07,  1.447390625570158E+05,  4.482469268399050E+05, -1.261071132608240E+04,
2397675.500000000, A.D. 1852-Jul-06 00:00:00.0000,  4.256389315144848E+09, -1.400084924292732E+09, -6.923310859050012E+07,  1.443714926880363E+05,  4.484897313776056E+05, -1.256010961831840E+04,
2397685.500000000, A.D. 1852-Jul-16 00:00:00.0000,  4.257829868529142E+09, -1.395599356756989E+09, -6.935875831556076E+07,  1.437983253786401E+05,  4.487115349594926E+05, -1.251828708068920E+04,
2397695.500000000, A.D. 1852-Jul-26 00:00:00.0000,  4.259265967505629E+09, -1.391112042126139E+09, -6.948429549062258E+07,  1.433067470653155E+05,  4.487720403231781E+05, -1.257462967661426E+04,
2397705.500000000, A.D. 1852-Aug-05 00:00:00.0000,  4.260697297470786E+09, -1.386622930433315E+09, -6.960968044579309E+07,  1.429691231612487E+05,  4.489492785743789E+05, -1.256313669277493E+04,
2397715.500000000, A.D. 1852-Aug-15 00:00:00.0000,  4.262123874233283E+09, -1.382132294987846E+09, -6.973507245078105E+07,  1.424548228943538E+05,  4.492163002372821E+05, -1.249382343538799E+04,
2397725.500000000, A.D. 1852-Aug-25 00:00:00.0000,  4.263545976169006E+09, -1.377640042608917E+09, -6.986041430396581E+07,  1.418898762875718E+05,  4.493106609462496E+05, -1.252680195066912E+04,
2397735.500000000, A.D. 1852-Sep-04 00:00:00.0000,  4.264963397238396E+09, -1.373145981574900E+09, -6.998557979448074E+07,  1.415298746835462E+05,  4.494160344626977E+05, -1.255624075652652E+04,
2397745.500000000, A.D. 1852-Sep-14 00:00:00.0000,  4.266375962586949E+09, -1.368650350142105E+09, -7.011070093787563E+07,  1.410961697687361E+05,  4.496842404992689E+05, -1.248546844401645E+04,
2397755.500000000, A.D. 1852-Sep-24 00:00:00.0000,  4.267783969081933E+09, -1.364153232995230E+09, -7.023582484557307E+07,  1.405009595029066E+05,  4.498400906208393E+05, -1.247837498815540E+04,
2397765.500000000, A.D. 1852-Oct-04 00:00:00.0000,  4.269187411211867E+09, -1.359654378281378E+09, -7.036079213476259E+07,  1.400766164170387E+05,  4.498968404259054E+05, -1.253358816329805E+04,
2397775.500000000, A.D. 1852-Oct-14 00:00:00.0000,  4.270586001973277E+09, -1.355153883023384E+09, -7.048565223954833E+07,  1.397124073551316E+05,  4.501224200475921E+05, -1.248796735199892E+04,
2397785.500000000, A.D. 1852-Oct-24 00:00:00.0000,  4.271979929762174E+09, -1.350651963164383E+09, -7.061053577317548E+07,  1.391423707269840E+05,  4.503440756786582E+05, -1.244048589247999E+04,
2397795.500000000, A.D. 1852-Nov-03 00:00:00.0000,  4.273369377778949E+09, -1.346148406247640E+09, -7.073531507703716E+07,  1.386359925281638E+05,  4.503979482914475E+05, -1.249493639934997E+04,
2397805.500000000, A.D. 1852-Nov-13 00:00:00.0000,  4.274754053419596E+09, -1.341643135342951E+09, -7.085993563316184E+07,  1.382976443441443E+05,  4.505550830775816E+05, -1.249011239223725E+04,
2397815.500000000, A.D. 1852-Nov-23 00:00:00.0000,  4.276133953810831E+09, -1.337136419352679E+09, -7.098455755314296E+07,  1.377953490814979E+05,  4.508172912647456E+05, -1.241872361554124E+04,
2397825.500000000, A.D. 1852-Dec-03 00:00:00.0000,  4.277509377510125E+09, -1.332628181939844E+09, -7.110913925413364E+07,  1.372234643761994E+05,  4.509127896284273E+05, -1.244638529020401E+04,
2397835.500000000, A.D. 1852-Dec-13 00:00:00.0000,  4.278880150540358E+09, -1.328118206324603E+09, -7.123354524353242E+07,  1.368573296077405E+05,  4.510025751602207E+05, -1.248124514121427E+04,
2397845.500000000, A.D. 1852-Dec-23 00:00:00.0000,  4.280246080175794E+09, -1.323606706150596E+09, -7.135789839767951E+07,  1.364379886374857E+05,  4.512618573001426E+05, -1.241275411413830E+04,
